"filename", "language", "JSON", "JavaScript", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Eswar\Desktop\Final\Backend-Final\.env", "Properties", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Eswar\Desktop\Final\Backend-Final\README.md", "Markdown", 0, 0, 0, 8, 0, 3, 11
"c:\Users\Eswar\Desktop\Final\Backend-Final\controllers\authController.js", "JavaScript", 0, 66, 0, 0, 6, 17, 89
"c:\Users\Eswar\Desktop\Final\Backend-Final\controllers\userController.js", "JavaScript", 0, 56, 0, 0, 0, 8, 64
"c:\Users\Eswar\Desktop\Final\Backend-Final\controllers\workController.js", "JavaScript", 0, 89, 0, 0, 0, 9, 98
"c:\Users\Eswar\Desktop\Final\Backend-Final\controllers\workExpenseController.js", "JavaScript", 0, 102, 0, 0, 0, 8, 110
"c:\Users\Eswar\Desktop\Final\Backend-Final\controllers\workerController.js", "JavaScript", 0, 77, 0, 0, 0, 8, 85
"c:\Users\Eswar\Desktop\Final\Backend-Final\index.js", "JavaScript", 0, 32, 0, 0, 5, 4, 41
"c:\Users\Eswar\Desktop\Final\Backend-Final\middlewares\authMiddleware.js", "JavaScript", 0, 27, 0, 0, 0, 8, 35
"c:\Users\Eswar\Desktop\Final\Backend-Final\models\userModel.js", "JavaScript", 0, 51, 0, 0, 0, 5, 56
"c:\Users\Eswar\Desktop\Final\Backend-Final\models\workExpenseModel.js", "JavaScript", 0, 31, 0, 0, 0, 4, 35
"c:\Users\Eswar\Desktop\Final\Backend-Final\models\workModel.js", "JavaScript", 0, 64, 0, 0, 0, 4, 68
"c:\Users\Eswar\Desktop\Final\Backend-Final\models\workerModel.js", "JavaScript", 0, 22, 0, 0, 0, 4, 26
"c:\Users\Eswar\Desktop\Final\Backend-Final\package-lock.json", "JSON", 2680, 0, 0, 0, 0, 1, 2681
"c:\Users\Eswar\Desktop\Final\Backend-Final\package.json", "JSON", 29, 0, 0, 0, 0, 1, 30
"c:\Users\Eswar\Desktop\Final\Backend-Final\routes\authRoutes.js", "JavaScript", 0, 6, 0, 0, 0, 4, 10
"c:\Users\Eswar\Desktop\Final\Backend-Final\routes\userRoutes.js", "JavaScript", 0, 10, 0, 0, 0, 4, 14
"c:\Users\Eswar\Desktop\Final\Backend-Final\routes\workExpenseRoutes.js", "JavaScript", 0, 15, 0, 0, 6, 8, 29
"c:\Users\Eswar\Desktop\Final\Backend-Final\routes\workRoutes.js", "JavaScript", 0, 12, 0, 0, 7, 9, 28
"c:\Users\Eswar\Desktop\Final\Backend-Final\routes\workerRoutes.js", "JavaScript", 0, 11, 0, 0, 6, 8, 25
"c:\Users\Eswar\Desktop\Final\Backend-Final\services\userService.js", "JavaScript", 0, 57, 0, 0, 0, 7, 64
"c:\Users\Eswar\Desktop\Final\Backend-Final\services\workExpenseService.js", "JavaScript", 0, 30, 0, 0, 0, 8, 38
"c:\Users\Eswar\Desktop\Final\Backend-Final\services\workService.js", "JavaScript", 0, 32, 0, 0, 0, 8, 40
"c:\Users\Eswar\Desktop\Final\Backend-Final\services\workerService.js", "JavaScript", 0, 28, 0, 0, 0, 8, 36
"Total", "-", 2709, 818, 1, 8, 30, 148, 3714
